i, j, number of events processed, number of events selected
632, 0, 56247, 117
633, 0, 56799, 112
634, 0, 56733, 123
635, 0, 56389, 120
636, 0, 56642, 133
637, 0, 56271, 124
638, 0, 56489, 124
639, 0, 56451, 122
641, 0, 56973, 125
640, 0, 56691, 137
642, 0, 56606, 129
643, 0, 56492, 121
644, 0, 56728, 133
645, 0, 56649, 138
646, 0, 56466, 128
647, 0, 56615, 129
648, 0, 56591, 109
649, 0, 57045, 137
650, 0, 56098, 144
652, 0, 56622, 128
651, 0, 56724, 122
653, 0, 56611, 123
654, 0, 56522, 147
655, 0, 56775, 104
656, 0, 56795, 125
657, 0, 56650, 155
658, 0, 56290, 116
659, 0, 56801, 131
660, 0, 56880, 122
661, 0, 56928, 120
662, 0, 56148, 128
663, 0, 56681, 127
664, 0, 56443, 119
665, 0, 56433, 113
667, 0, 56657, 124
666, 0, 56873, 134
668, 0, 56583, 129
669, 0, 56908, 129
670, 0, 56614, 115
671, 0, 56856, 124
672, 0, 56619, 128
673, 0, 56975, 120
674, 0, 56310, 134
675, 0, 56813, 123
676, 0, 56647, 124
677, 0, 56458, 112
678, 0, 56586, 121
679, 0, 57051, 157
681, 0, 56487, 123
682, 0, 56584, 111
680, 0, 56911, 127
683, 0, 56917, 118
684, 0, 56491, 138
685, 0, 57293, 120
686, 0, 56615, 112
687, 0, 56722, 108
688, 0, 56495, 132
689, 0, 56177, 121
690, 0, 56132, 149
691, 0, 56300, 118
692, 0, 56661, 124
693, 0, 56779, 117
694, 0, 56685, 143
695, 0, 56981, 137
696, 0, 57058, 127
697, 0, 56659, 116
698, 0, 56733, 129
699, 0, 56437, 126
700, 0, 56449, 155
701, 0, 56690, 110
702, 0, 56890, 114
703, 0, 56492, 126
705, 0, 56897, 126
704, 0, 56818, 117
706, 0, 55985, 97
707, 0, 56813, 115
708, 0, 56528, 134
709, 0, 56554, 115
710, 0, 56719, 107
711, 0, 56852, 97
712, 0, 56599, 119
713, 0, 56542, 141
714, 0, 56721, 114
715, 0, 56666, 126
716, 0, 56424, 135
717, 0, 56840, 115
718, 0, 56623, 146
719, 0, 57019, 130
720, 0, 56264, 117
721, 0, 56321, 119
722, 0, 56722, 134
723, 0, 56851, 126
724, 0, 56699, 114
725, 0, 56306, 113
726, 0, 56788, 117
727, 0, 56569, 144
728, 0, 56541, 119
729, 0, 56793, 145
730, 0, 56515, 132
731, 0, 56819, 107
732, 0, 56857, 113
733, 0, 56275, 112
735, 0, 56300, 109
734, 0, 56681, 143
736, 0, 57103, 130
737, 0, 56026, 122
738, 0, 56719, 127
740, 0, 56500, 118
739, 0, 56789, 135
741, 0, 56931, 124
742, 0, 57009, 137
743, 0, 56523, 137
744, 0, 56240, 141
745, 0, 56598, 124
746, 0, 56701, 112
747, 0, 56350, 124
748, 0, 56269, 120
749, 0, 56644, 125
750, 0, 56597, 154
751, 0, 56725, 118
752, 0, 56546, 135
753, 0, 57102, 124
754, 0, 57248, 124
755, 0, 56312, 110
756, 0, 56580, 120
758, 0, 56834, 120
757, 0, 56643, 138
759, 0, 56730, 120
760, 0, 56904, 124
761, 0, 56782, 124
762, 0, 56562, 140
763, 0, 56661, 130
764, 0, 57032, 108
765, 0, 56361, 121
766, 0, 56642, 120
767, 0, 56427, 97
768, 0, 56611, 123
769, 0, 56722, 112
770, 0, 56656, 117
771, 0, 56886, 130
772, 0, 57002, 120
773, 0, 56802, 117
774, 0, 56557, 131
775, 0, 56825, 116
776, 0, 56736, 103
779, 0, 56702, 117
777, 0, 56792, 130
778, 0, 56489, 125
